,Lo PRIOR,PRIOR 2,PRIOR 3,PRIOR 4,PRIOR 5,PRIOR 6,PRIOR 7,PRIOR 8,PRIOR 9,Hi PRIOR
201904,3.87,5.49,6.67,3.76,7.86,6.02,4.03,1.72,3.77,0.8
201905,-17.58,-13.15,-12.26,-9.73,-8.15,-6.33,-6.13,-7.28,-3.54,-3.53
201906,10.81,10.91,9.19,6.54,7.64,7.79,7.18,6.25,6.57,6.62
201907,-3.92,0.97,-0.51,1.89,0.86,3.31,2.46,-0.67,0.83,1.95
201908,-13.46,-9.09,-7.01,-7.18,-3.59,-5.68,-1.58,-0.71,0.93,-0.31
201909,5.21,5.44,5.82,5.2,0.33,3.12,4.54,1.29,0.28,-3.03
201910,-4.23,4.21,3.06,4.46,3.57,4.8,1.85,1.59,1.02,-0.55
201911,5,5.94,6.87,5.87,5.95,2.76,4.51,1.6,2.92,3.57
201912,10.97,4.95,3.11,3.83,1.62,2.78,2.51,2.59,2.28,4.6
202001,-10.28,-6.66,-3,-2.97,0.86,0.95,-1.06,-0.7,3.12,3.3
202002,-12.56,-7.08,-5.26,-10.32,-8.16,-8.56,-8.12,-8.98,-8.2,-6.55
202003,-27.98,-31.26,-20.02,-17.6,-14.69,-15.03,-10.76,-12.08,-13.64,-9.46
202004,43.47,22.12,14,16.56,10.29,12.38,15.37,11.51,12.22,14.72
202005,-1.44,7.39,4.17,7.73,2.96,6.56,4.88,5.63,4.31,6.66
202006,18.48,5.68,0.85,1.41,0.13,-1.18,-2.54,-0.21,0.52,8.02
202007,-2.91,-3.91,-1.52,0.76,1.78,5.55,4.23,6.26,6.77,8.03
202008,4.04,6.54,5.5,3.77,6.17,4.4,4.8,5.99,7.1,11.46
202009,-7.58,-6.67,-5.39,-4.34,-2.5,-0.96,-2.1,-0.67,-3.92,-6.06
202010,-4.73,1.37,3.01,1.11,-0.39,-2.87,-2.94,-2.81,0.18,-3.74
202011,37.14,27.72,20.66,18.02,15.47,13.95,11.09,10.75,9.86,10.4
202012,8.13,7.11,6.93,7.44,4.81,3.21,4.51,3.96,1.82,6.39
202101,6.47,-0.67,1.05,-0.68,-1.9,-1.48,-5.1,-0.55,0.73,2.11
202102,19.72,7.9,7.12,7.37,3.25,3.87,4.97,1.57,1.36,-2.76
202103,7.21,6.48,6.57,5.66,6.63,6.18,5.23,2.03,0.95,-4.02
202104,2.18,2.35,5.64,7.08,6.81,5.35,4.48,3.42,5.38,4.52
202105,-0.04,1.49,-1.32,1.41,1.81,-0.33,2.03,2.17,1.9,-4.78
202106,2.31,0.5,1.68,4.98,-0.52,4.35,1.5,-0.86,2.18,8.94
202107,-0.33,1.54,3.47,3.28,1.54,2.17,-1.24,-0.94,-2.03,-0.48
202108,-0.27,2.04,2.57,4.09,2.5,1.52,4.36,5.99,3.66,3
202109,-3.5,-5.31,-5.97,-4.62,-3.62,-4.5,-4.21,-3.15,-2.76,-3.2
202110,2.76,3.6,6.57,6.13,6.92,5.7,13.9,9.07,6.37,3.94
202111,-7.68,-1.04,-3.34,3.49,-2.07,-3.48,0.44,-5.17,-2.44,-2.2
202112,3.62,6.9,3.34,6.93,4.93,4.54,4.24,3.2,-0.81,-6.35
202201,-7.38,-1.15,-2.15,-5.98,-5.48,-4.99,-7.1,-5.63,-7.58,-10.96
202202,-7.4,-0.67,-0.74,-3.48,-1.4,-5.05,-2.54,-2.02,-1.15,0.64
202203,-0.23,-0.33,0.29,1.14,2.83,2.29,3.97,3.88,4.86,5.12
202204,-19.89,-13.5,-7.1,-7.47,-9.4,-5.08,-7.35,-5.67,-10.63,-12.24
202205,-8.21,-2.01,3.38,3.05,-0.26,0.2,-1.6,-0.73,-1.18,1.54
202206,-11,-11.2,-11.07,-10.5,-8.33,-7.52,-6.74,-7.66,-5.63,-10.14
202207,14.96,9.49,16.95,8.79,7.96,10.32,8.31,11.62,3.93,7.82
202208,-3.47,-1.01,-6.01,-6.92,-4.2,-5.01,-3.69,-2.71,-1.76,0.01
202209,-11.29,-12.08,-11.77,-11.5,-8.38,-9.07,-8.1,-9.33,-4.96,-7.24
202210,7.01,3.56,11.64,2.44,9.54,7.19,9.8,6.73,9.89,18.18
202211,0.89,10.05,6.28,5.62,3.5,8.71,7.45,2.59,4.11,1.84
202212,-8.88,-13.49,-7.97,-3.93,-4.15,-8.43,-3.87,-2.99,-3.3,-4.22
202301,20.82,22.28,14.26,5.92,7.5,5.87,5.1,-0.05,1.09,0.47
202302,6.27,-4.23,-0.48,-1.4,-3.14,-1.9,-2.92,-3.42,-2.25,-5
202303,-2.61,8.35,6.58,3.09,0.69,1.58,1.49,1.1,0.17,0.37
202304,-6.7,0.63,3.24,1.45,0.43,1.21,0.97,2.36,0.69,1.92
202305,4.21,6.96,2.99,-0.33,-2.98,1.16,-2.25,2.47,-2.89,8.42
202306,9.37,14.81,5.97,6.4,3.79,5.91,6.64,6.85,7.2,8.51
202307,11.92,5.69,4.83,4.99,4.09,4.07,4.08,2.75,0.68,5.13
202308,-9.17,-6.46,-4.44,-3.73,-1.86,-1.05,-0.19,-2.71,2.57,-1.19
202309,-9.08,-5.06,-4.39,-3.01,-4.15,-2.94,-5.53,-3.66,-5.46,-7.76
202310,-9.57,-4.97,-4.21,-3.27,-4.1,-0.06,-2.5,-0.28,-2.81,-4.09
202311,9.67,8.31,7.51,6.12,6.9,7.46,9,9.74,11.5,12.83
202312,19.71,9.9,10.33,6.19,6.01,4.12,5.37,3.52,4.2,3.91
202401,-7.11,-3.98,-2.16,-0.11,0.3,0.53,2.08,2.66,-1.2,5.14
202402,2.75,1.46,2.53,2.04,2.37,3.76,3.8,4.55,4.58,12.84
202403,0.57,5.19,5.01,2.98,5.64,2.96,3.14,1.16,3.28,3.96
